id,transaction_no,line,item,qty,unit,delivered,remain_qty,po_no,warehouse_option,delivery_date,status,description
278,13423,3,Bamboo Teak Pillow Mist - 150ml.,1,Pcs,1,0,,,,open,
279,13422,1,Linen Bolster Case Set (1 Bolster Case) - ø34.5cm x L91cm - Olive,1,Pcs,1,0,,,,open,
280,13422,2,Linen Bolster Case Set (1 Bolster Case) - ø34.5cm x L91cm - Natural,1,Pcs,1,0,,,,open,
281,13422,3,Small Packaging Box,1,Pcs,1,0,,,,open,
282,13421,1,Heveya Double Linen Throw - Size 150cm x 230cm - Natural,1,Pcs,1,0,,,,open,
283,13418,1,Heveya Natural Organic Latex Pillow - (70cm x 40cm x 10cm) - Heveya 1,1,Pcs,1,0,,,,open,
284,13418,2,Heveya Pillow Bags,1,Pcs,1,0,,,,open,
285,13418,3,Bamboo Teak Pillow Mist - 5ml.,1,Pcs,1,0,,,,open,
286,13420,1,Linen Bolster Case Set (1 Bolster Case) - ø34.5cm x L91cm  - White,1,Pcs,1,0,,,,open,
287,13420,2,Heveya Sheet Bags,1,Pcs,1,0,,,,open,
288,13419,1,Linen Fitted Sheet Set + 2 Pillow Cases - King (180cm x 200cm)  - White,1,Set,1,0,,,,open,disc 10 % bundle
289,13419,2,Linen Duvet Sheet Set + 2 Pillow Cases - King (240cm x 220cm) - White,1,Set,1,0,,,,open,
290,13419,3,Heveya Pillow Bags,1,Pcs,1,0,,,,open,
291,13419,4,Bottle - Pillow Mist - 5ml,2,Pcs,2,0,,,,open,
292,13417,1,Heveya Toddler Contour Pillow - 48 cm x 33 cm,1,Pcs,1,0,,,,open,
293,13417,2,Heveya Bamboo Pillow Cases Set (2 Pillow Cases) - Toddler Contour 48cm x 33cm - White,1,Set,1,0,,,,open,
294,13417,3,Bamboo Flat Sheet Set + 2 Pillow Cases - Super King/King (300cm x 300cm)  - White,1,Set,1,0,,,,open,
295,13417,4,Heveya Sheet Bags,1,Pcs,1,0,,,,open,
296,13416,1,Heveya Bamboo Eyemask - Sand,1,Pcs,1,0,,,,open,
297,13416,2,Paper Bag,1,Pcs,1,0,,,,open,
298,13415,1,Linen Fitted Sheet Set + 2 Pillow Cases - King (180cm x 200cm)  - Natural,1,Set,1,0,,,,open,
299,13415,2,Linen Duvet Sheet Set + 2 Pillow Cases - King (240cm x 220cm) - Natural,1,Set,1,0,,,,open,
300,13415,3,Bamboo Cotton  Fitted Sheet Set + 2 Pillow Cases - King (180cm x 200cm) - White,1,Set,1,0,,,,open,
301,13415,4,Bamboo Cotton  Duvet Sheet Set + 2 Pillow Cases - King (240cm x 220cm) - White,1,Set,1,0,,,,open,
302,13415,5,Heveya Vegan Cotton Bath Sheet - 160 x 90cm - Stone,1,Pcs,1,0,,,,open,
303,13415,6,Heveya Vegan Cotton Hand Towel - 70 x 40 - Stone,1,Pcs,1,0,,,,open,
304,13415,7,Heveya Vegan Cotton Face Towel - 30x30cm - Stone,2,Pcs,2,0,,,,open,
305,13415,8,Heveya Pillow Bags,1,Pcs,1,0,,,,open,
